Place,Category,Location,District,Province,Description
Giriulla,Cities,North Western Sri Lanka,Kurunegala,North Western,A town known for its coconut plantations.
Godakawela,Cities,Sabaragamuwa,Ratnapura,Sabaragamuwa,A town known for paddy and rubber farming.
Godagama,Cities,Western Sri Lanka,Colombo,Western,A growing industrial and logistic hub.
Hakmana,Cities,Southern Sri Lanka,Matara,Southern,A vibrant town with a strong agricultural economy.
Hali Ela,Cities,Uva Province,Badulla,Uva,Known for its scenic beauty and cool climate.
Hanwella,Cities,Western Sri Lanka,Colombo,Western,A town with colonial-era ruins.
Hatton,Cities,Central Sri Lanka,Nuwara Eliya,Central,Famous for tea estates and the railway line.
Hingurakgoda,Cities,North Central Sri Lanka,Polonnaruwa,North Central,A growing farming town.
Hikkaduwa,Cities,Southern Sri Lanka,Galle,Southern,A famous tourist destination with coral reefs.
Ingiriya,Cities,Western Sri Lanka,Kalutara,Western,Known for rubber and tea plantations.
Ja-Ela,Cities,Western Sri Lanka,Gampaha,Western,A growing commercial hub near Colombo.
Kadawatha,Cities,Western Sri Lanka,Gampaha,Western,A residential and commercial town.
Kadugannawa,Cities,Central Sri Lanka,Kandy,Central,Known for its railway tunnel and colonial heritage.
Kahawatta,Cities,Sabaragamuwa,Ratnapura,Sabaragamuwa,A town with gem mining and tea estates.
Kalmunai,Cities,Eastern Sri Lanka,Ampara,Eastern,A commercial town with diverse communities.
Kamburupitiya,Cities,Southern Sri Lanka,Matara,Southern,Known for cinnamon and tea cultivation.
Kantale,Cities,Eastern Sri Lanka,Trincomalee,Eastern,Famous for its irrigation tank and paddy fields.
Katunayake,Cities,Western Sri Lanka,Gampaha,Western,Home to Bandaranaike International Airport.
Kegalle,Cities,Central Sri Lanka,Kegalle,Sabaragamuwa,Known for Pinnawala Elephant Orphanage.
Kekirawa,Cities,North Central Sri Lanka,Anuradhapura,North Central,A town surrounded by rice fields.
Kilinochchi,Cities,Northern Sri Lanka,Kilinochchi,Northern,A major town being rebuilt after the civil war.
Kinniya,Cities,Eastern Sri Lanka,Trincomalee,Eastern,Known for its hot water wells and large bridge.
Aandankulama,Cities,Northern Sri Lanka,Mullaitivu,Northern,"A small village affected by the civil war, now being redeveloped."
Arachchikanda,Cities,Southern Sri Lanka,Galle,Southern,Known for cinnamon and coconut plantations.
Bambarapana,Cities,Central Sri Lanka,Badulla,Uva,A remote highland village with tea estates.
Balana,Cities,Central Sri Lanka,Kandy,Central,"Famous for the Balana Fort, a key strategic location in history."
Bogahakumbura,Cities,Uva Province,Badulla,Uva,A scenic town known for vegetable cultivation.
Boraluwewa,Cities,North Central Sri Lanka,Polonnaruwa,North Central,A village surrounded by paddy fields and irrigation tanks.
Bopitiya,Cities,Western Sri Lanka,Gampaha,Western,A fishing town with beautiful beaches.
Dadigama,Cities,Sabaragamuwa,Kegalle,Sabaragamuwa,"Birthplace of King Parakramabahu I, with ancient ruins."
Dambagalla,Cities,Uva Province,Monaragala,Uva,A small town known for farming and local markets.
Dampe,Cities,Western Sri Lanka,Colombo,Western,A growing residential area close to the capital.
Dehiattakandiya,Cities,Eastern Sri Lanka,Ampara,Eastern,A farming town with a large irrigation system.
Deniyaya,Cities,Southern Sri Lanka,Matara,Southern,A gateway to the Sinharaja Rainforest.
Dickwella,Cities,Southern Sri Lanka,Matara,Southern,Famous for golden beaches and diving spots.
Digampathaha,Cities,North Central Sri Lanka,Matale,Central,A small town near the Dambulla cave temple.
Diyabeduma,Cities,North Central Sri Lanka,Polonnaruwa,North Central,A farming village near major reservoirs.
Dodangoda,Cities,Western Sri Lanka,Kalutara,Western,A town close to the Southern Expressway interchange.
Egodauyana,Cities,Western Sri Lanka,Kalutara,Western,A town near Moratuwa with fishing and tourism.
Eravur,Cities,Eastern Sri Lanka,Batticaloa,Eastern,A commercial town with a large Muslim community.
Etanawatta,Cities,Sabaragamuwa,Ratnapura,Sabaragamuwa,A town with scenic tea plantations.
Galpatha,Cities,Western Sri Lanka,Kalutara,Western,A quiet village with a Buddhist heritage.
Galwewa,Cities,Uva Province,Monaragala,Uva,A farming town with traditional village life.
Ganetanna,Cities,Sabaragamuwa,Kegalle,Sabaragamuwa,Known for rubber plantations and lush greenery.
Godigamuwa,Cities,Western Sri Lanka,Colombo,Western,A fast-growing suburb near Maharagama.
Gomarankadawala,Cities,Eastern Sri Lanka,Trincomalee,Eastern,A remote town with a mix of farming and wildlife.
Gurutalawa,Cities,Uva Province,Badulla,Uva,A scenic village with a colonial-era school.
Hakuruwela,Cities,Southern Sri Lanka,Hambantota,Southern,A farming area known for paddy and vegetables.
Hataraliyadda,Cities,Central Sri Lanka,Kandy,Central,A historic town with Buddhist temples.
Hingula,Cities,Central Sri Lanka,Kandy,Central,A growing town near the Colombo-Kandy highway.
Iluppukanni,Cities,Northern Sri Lanka,Mannar,Northern,A fishing village with Tamil heritage.
Ihala Kotte,Cities,Central Sri Lanka,Kegalle,Sabaragamuwa,A scenic train stop in the central hills.
Jayanthipura,Cities,North Central Sri Lanka,Polonnaruwa,North Central,A developing town near Polonnaruwa city.
Kandapola,Cities,Central Sri Lanka,Nuwara Eliya,Central,A beautiful hill station famous for its tea estates.
Kanugahawewa,Cities,North Central Sri Lanka,Anuradhapura,North Central,A remote village with an ancient history.
Kapugama,Cities,Southern Sri Lanka,Matara,Southern,A beach town with fishing and tourism.
Karainagar,Cities,Northern Sri Lanka,Jaffna,Northern,A small island town connected to Jaffna.
Kelaniya Raja Maha Viharaya,Buddhist Temple,Kelaniya,Gampaha,Western,"In the eighth year after enlightenment, Buddha visited this kingdom at the invitation of King Maniakkhika of the ""Naga (Cobra)"" tribe."
Whale Watching in Mirissa,Wildlife Activity,Mirissa,Matara,Southern,Whale and dolphin watching in the southern sea.
Dutch Hospital,Historic Site,Colombo,Colombo,Western,A great place to relax and chill after walking around Colombo.
Bellanwila Temple (Bellanwila Rajamaha Viharaya),Buddhist Temple,Bellanwila,Colombo,Western,A venerated place in Colombo District.
Wadinagala,Natural Attraction,Gal Oya National Park,Ampara,Eastern,A reservoir bordering Gal Oya National Park.
Kudumbigala Monastery,Buddhist Monastery,Digamadulla,Ampara,Eastern,A magnificent monastery of the Digamadulla region.
Bahirawa Kanda,Buddhist Site,Kandy,Kandy,Central,"Located 3 km from Kandy, accessible via Pushpadana Road."
Okanda Beach,Beach,Okanda,Ampara,Eastern,One of the top surf spots on the Eastern coast.
Pettah Market,Market,Colombo,Colombo,Western,The main market in Sri Lanka offering a unique shopping experience.
Pigeon Island National Park,Marine National Park,Nilaveli,Trincomalee,Eastern,"One of the two marine national parks of Sri Lanka, situated 1 km off the coast."
Mullikulamalai,Buddhist Monastery,-,-,-,The monastery where Queen Viharamadevi lived as a Bhikkhuni.
Sri Dalada Maligawa (Temple of the Tooth),Buddhist Temple,Kandy,Kandy,Central,"A World Heritage Site and Buddhist temple in Kandy, home to the sacred Tooth Relic."
Rambakan Oya,Irrigation Project,Eastern Province,Ampara,Eastern,A mega irrigation project.
Wolvendaal Church,Historic Church,Colombo,Colombo,Western,The oldest Protestant church in Sri Lanka.
Galle Fort,Historic Site,Galle,Galle,Southern,A UNESCO World Heritage Site built in 1588 by the Portuguese.
Jathika Namal Uyana,Natural Site,-,Anuradhapura,North Central,The largest Na-forest and pink quartz mountain in Asia.
Maduru Oya National Wildlife Park,Wildlife Park,Maduru Oya,Ampara,Eastern,Home to nearly 200 elephants.
Laxapana Falls,Waterfall,Laxapana,Nuwara Eliya,Central,The 6th highest waterfall in Sri Lanka and ranked 625th in the world.
Rambodagalla Buddha Statue,Buddhist Statue,Rambodagalla,Kurunegala,North Western,The world’s largest granite statue of Samadhi Buddha.
Senanayaka Samudraya of Inginiyagala,Reservoir,Inginiyagala,Ampara,Eastern,The largest man-made reservoir in Sri Lanka.
St. Clairs Falls,Waterfall,St. Clair’s,Nuwara Eliya,Central,"The widest waterfall in Sri Lanka, also called ""Little Niagara""."
Bundala National Park,National Park,Bundala,Hambantota,Southern,A vital wintering ground for migratory water birds.
Kataragama,Pilgrimage Site,Kataragama,Monaragala,Uva,"Sacred to Buddhists, Hindus, Muslims, and the Vedda people."
Thewatta Basilica Church,Religious Site,Ragama,Gampaha,Western,Built to fulfill a promise of faith.
Koggala Beach,Beach,Koggala,Galle,Southern,A coastal area in the Galle District.
Nilavara Bottomless Well,Natural Wonder,Nilavara,Jaffna,Northern,A bottomless well with pure water.
Nilaveli and Uppaveli,Beach,Trincomalee,Trincomalee,Eastern,A deep-water harbor 257 km northeast of Colombo.
Budugala,Buddhist Site,Budugala,Ratnapura,Sabaragamuwa,A religious site with historical significance.
Alawala Devin Penne Ela,Natural Lake,Alawala,Gampaha,Western,A lake wrapped in royal legend.
Okanda Devalaya,Hindu Temple,Okanda,Ampara,Eastern,A temple of Lord Skanda on the Eastern coast.
Lionel Wendt Art Centre,Art Centre,Colombo,Colombo,Western,A major art center and theatre in Colombo.
Dambakola Patuna Viharaya,Buddhist Temple,Dambakola Patuna,Jaffna,Northern,A temple built to commemorate a great arrival.
Dunhinda Falls,Waterfall,Badulla,Badulla,Uva,One of the most charming waterfalls in Sri Lanka.
Panavitiya Ambalama,Historic Site,Kurunegala,North Western,North Western,Famous for its wood carvings.
Jungle Beach,Beach,Unawatuna,Galle,Southern,A remote and wild beach in Sri Lanka.
Bandaraduwa,Indigenous Site,Bandaraduwa,Badulla,Uva,The adopted home of the Sri Lankan Indigenous community.
Sigiriya,Historic Site,Sigiriya,Matale,Central,A UNESCO World Heritage Site and part of the Cultural Triangle.
Henanigala Panchawasa Raja Maha Viharaya,Buddhist Temple,Henanigala,Ampara,Eastern,A rock temple where King Dutugamunu gathered his warriors.
Maduru Oya Reservoir,Reservoir,Maduru Oya,Ampara,Eastern,Built under the Mahaweli project for irrigation.
Udawalawe National Park,Wildlife Park,Udawalawe,Ratnapura,Sabaragamuwa/Uva,A well-known national park famous for its elephants.
Bambarakanda Falls,Waterfall,Ohiya,Badulla,Uva,"The tallest waterfall in Sri Lanka, great for hiking."
Dowa Rock Temple,Buddhist Temple,Badulla,Badulla,Uva,A rock temple with historic significance.
Rawana Ella and Ravana Falls,Waterfall,Ella,Badulla,Uva,One of the most famous waterfalls in Sri Lanka.
Delft Growing Stone,Natural Wonder,Delft Island,Jaffna,Northern,Rocks that increase in size over time.
Samangala Forest Hermitage,Buddhist Hermitage,Ampara,Ampara,Eastern,A monastery with rare Brahmin inscriptions.
Huluganga Ella Falls,Waterfall,Huluganga,Kandy,Central,A scenic waterfall located in Hulu Ganga town.
Pallan Hela Mountain,Natural Site,Ampara,Ampara,Eastern,A mountain fortress with a breathtaking view.
Alankuda Beach,Beach,Kalpitiya,Puttalam,North Western,A recently developed beach destination.
Bambarakanda Falls,Waterfall,Ohiya,Badulla,Uva,"The tallest waterfall in Sri Lanka, great for hiking."
Makaraya,Natural Wonder,Senanayaka Samudraya,Ampara,Eastern,A whirlpool in the middle of Senanayaka Samudraya and a camping site.
Jungle Beach,Beach,Unawatuna,Galle,Southern,One of the most remote and wildest beaches in Sri Lanka.
Govinda Hela of Siyambalanduwa,Mountain Trek,Siyambalanduwa,Monaragala,Uva,A mountain trek and an ancient fortress.
Dehiwala Zoo,Zoological Garden,Dehiwala,Colombo,Western,One of the main zoological gardens in Sri Lanka.
Aukana,Buddhist Statue,Aukana,Anuradhapura,North Central,One of the tallest and most gorgeous Buddha statues in Sri Lanka.
Kirinda,Buddhist Temple,Kirinda,Hambantota,Southern,An ancient temple built on a rocky mountain.
Independence Memorial Hall,Monument,Colombo,Colombo,Western,Built to commemorate the brave soldiers of Sri Lanka who died in wars.
Maligathenna Raja Maha Viharaya,Buddhist Temple,Gampaha,Gampaha,Western,A refuge of sacred relics and Kings.
Wolvendaal Church,Historic Church,Colombo,Colombo,Western,The oldest Protestant church in Sri Lanka.
Beruwala & Bentota,Beach,Beruwala & Bentota,Galle,Southern,Major exotic beaches separated by the Bentota River.
Nilavara Bottomless Well,Natural Wonder,Nilavara,Jaffna,Northern,A bottomless well with pure water.
Kalutara Bodhiya,Buddhist Temple,Kalutara,Kalutara,Western,Believed to be one of the 32 saplings of the Jaya Sri Maha Bodhi in Anuradhapura.
Camping in Kumana National Wildlife Sanctuary,Wildlife Experience,Kumana,Ampara,Eastern,Spending the night amidst wildlife.
Bahirawa Kanda,Buddhist Site,Kandy,Kandy,Central,A famous Buddhist statue site accessible via Pushpadana Road.
Pettah Market,Market,Colombo,Colombo,Western,The main market in Sri Lanka offering a unique shopping experience.
Senanayaka Samudraya of Inginiyagala,Reservoir,Inginiyagala,Ampara,Eastern,The largest man-made reservoir in Sri Lanka.
Ancient Deegawapiya,Buddhist Monastery,Ampara,Ampara,Eastern,A monastery graced by the Buddha.
Buddhangala Monastery,Buddhist Monastery,Ampara,Ampara,Eastern,A forest hermitage of ancient tradition.
Henanegala Len Viharaya,Buddhist Monastery,Ampara,Ampara,Eastern,A rock temple where King Dutugamunu gathered his warriors.
Delft Growing Stone,Natural Wonder,Delft Island,Jaffna,Northern,Rocks that increase in size over time.
Bowattegala Monastery,Buddhist Monastery,Hambantota,Southern,Built by the ten royal brothers of the south.,
Asupini Ella,Waterfall,Kegalle,Kegalle,Sabaragamuwa,A significant waterfall in Kegalle District.
Sigiriya,Historic Site,Sigiriya,Matale,Central,A UNESCO World Heritage Site and part of the Cultural Triangle.
Huluganga Ella Falls,Waterfall,Hulu Ganga,Kandy,Central,A scenic waterfall located in Hulu Ganga town.
Hot Water Springs in Wahawa,Natural Wonder,Wahawa,Eastern,Eighteen hot water springs scattered within a village.,
Dome Houses,Architectural Site,-,-,-,Dome-shaped dwellings constructed for tsunami-displaced people.
Kudagala Forest Reserve & Monastery,Forest Reserve/Monastery,Kudagala,-,-,A monastery with cave murals.
Pineapple in Belummahara,Agricultural Tourism,Belummahara,Gampaha,Western,The pineapple is a universal symbol of hospitality.
Seema Malakaya Meditation Centre,Meditation Centre,Colombo,Colombo,Western,A calm and beautiful place in the busy city of Colombo.
Nara Mangrove Garden,Nature Experience,Kalpitiya,North Western,Exploring the secret life of mangroves.,
Nagapabbatha Monastery,Buddhist Monastery,Kumana,Eastern,A monastery amidst the wildlife sanctuary of Kumana.,
Gal Oya National Park,National Park,Gal Oya,Ampara,Eastern,A national park in the southeast of Sri Lanka.
Laxapana Falls,Waterfall,Laxapana,Nuwara Eliya,Central,"The 6th highest waterfall in Sri Lanka, ranked 625th in the world."
Victoria Park,Public Park,Nuwara Eliya,Nuwara Eliya,Central,A well-maintained public park in Nuwara Eliya.
Viharamahadevi Park,Public Park,Colombo,Colombo,Western,The oldest and largest park in central Colombo.
Gonagolla Monastery,Buddhist Monastery,Ampara,Eastern,A monastery with cave murals.,
Negombo Beach,Beach,Negombo,Gampaha,Western,A scenic beach located on the west coast of Sri Lanka.
Sri Shakhyasinharamaya,Buddhist Temple,Colombo 14,Colombo,Western,A splendid temple in Colombo 14.
Meemure,Traditional Village,Knuckles Mountain Range,Kandy/Matale,Central,A traditional village located near the border between Kandy and Matale.
Doovili Ella,Waterfall,-,-,-,A pristine waterfall within virgin forest land.
Delft Wild Horses,Wildlife Experience,Delft Island,Jaffna,Northern,A unique place to see wild horses.
The Japanese Peace Pagoda,Buddhist Monument,Unawatuna,Galle,Southern,One of the five peace pagodas in Sri Lanka.
Rawana Ella and Ravana Falls,Waterfall,Ella,Badulla,Uva,One of the most popular and elegant waterfalls in Sri Lanka.
Mullikulamalai,Buddhist Monastery,-,-,-,The monastery where Queen Viharamadevi lived as a Bhikkhuni.
Alioluwa Lake,Natural Lake,-,-,-,A peculiar lake and a waterway.
Lionel Wendt Art Centre,Art Centre,Colombo,Colombo,Western,A major art center and theatre in Colombo.
Ratmullukanda Viharaya,Buddhist Monastery,-,-,-,The highest peak that can be reached by a vehicle.
Laxapana Falls,Waterfall,Laxapana,Nuwara Eliya,Central,"The 6th highest waterfall in Sri Lanka, ranked 625th in the world."
Wilpattu National Park,National Park,Wilpattu,Anuradhapura,North Central,The largest and one of the oldest national parks in Sri Lanka.
Huluganga Ella Falls,Waterfall,Hulu Ganga,Kandy,Central,Located at Hulu Ganga Town on the Panwila–Bambarella Road.
Bowattegala Monastery,Buddhist Monastery,Hambantota,Southern,Built by the ten royal brothers of the South.,
Jathika Namal Uyana,Nature Reserve,-,-,-,The largest Na-forest and pink quartz mountain in Asia.
Henarathgoda Botanical Garden,Botanical Garden,Gampaha,Western,The cradle of the rubber revolution.,
Yapahuwa Rock Fortress,Historic Site,Yapahuwa,Kurunegala,North Western,The fourth ancient kingdom of Sri Lanka.
Pigeon Island National Park,Marine National Park,Nilaveli,Trincomalee,Eastern,One of two marine national parks in Sri Lanka.
Colombo Gold Center,Shopping Destination,Colombo,Colombo,Western,The best place for shopping gems and jewelry.
Devon Falls,Waterfall,Talawakele,Nuwara Eliya,Central,One of the most spectacular waterfalls in Sri Lanka.
Nilaveli and Uppaveli,Beach,Nilaveli,Trincomalee,Eastern,Home to one of the world's natural deep-water harbors.
Delft Wild Horses,Wildlife Experience,Delft Island,Jaffna,Northern,A unique place to see wild horses.
Kosgoda,Beach,Kosgoda,Galle,Southern,Popular for turtle conservation.
Asupini Ella,Waterfall,Kegalle,Kegalle,Sabaragamuwa,A main waterfall of Kegalle District.
Sangamankanda Point,Geographic Landmark,-,-,-,The easternmost point of Sri Lanka.
Doovili Ella,Waterfall,-,-,-,A pristine waterfall in virgin forest land.
Dowa Rock Temple,Buddhist Temple,Badulla,Badulla,Uva,A key sight in Badulla.
Arugam Bay,Beach,Arugam Bay,Ampara,Eastern,"A famous bay on the Indian Ocean, known for surfing."
Minneriya National Park,National Park,Minneriya,Polonnaruwa,North Central,Known for the largest gathering of wild elephants.
Horton Plains,National Park,Nuwara Eliya,Central,The coldest and windiest place in Sri Lanka.,
Diva Guhawa - Batatota Lena,Buddhist Site,Samanalakanda,Sabaragamuwa,The legendary resting place of the Buddha.,
Koggala Beach,Beach,Koggala,Galle,Southern,A beautiful coastal area in Galle District.
Alawala Devin Penne Ela,Lake,-,-,-,A lake wrapped in royal legend.
Pallan Hela Mountain,Mountain Trek,-,-,-,A mountain fortress with breathtaking views.
Thewatta Basilica Church,Religious Site,Colombo,Colombo,Western,Built as a symbol of faith.
Koneswaram Kovil,Hindu Temple,Trincomalee,Eastern,"Also known as Dakshinakailasha, dedicated to Lord Shiva.",
Maduwanwela Walawwa,Historic Site,-,-,-,The largest Walawwa in Sri Lanka.
The Steaming Hot Water Wells of Mahaoya,Natural Wonder,Mahaoya,Eastern,The hottest natural hot water source in Sri Lanka.,
Magul Maha Viharaya,Buddhist Temple,-,-,-,Built to commemorate a historic royal marriage.
Yala National Park,National Park,Yala,Southern,The most visited and second-largest national park in Sri Lanka.,
Rawana Ella and Ravana Falls,Waterfall,Ella,Badulla,Uva,One of the most popular and elegant waterfalls.
Neelagiri Stupa,Buddhist Stupa,-,-,-,The largest stupa in the east.
Sigiriya,Historic Site,Sigiriya,Matale,Central,A UNESCO World Heritage Site and a Cultural Triangle landmark.
Kirinda,Buddhist Temple,Kirinda,Hambantota,Southern,An ancient temple built on a rocky mountain.
Maduru Oya National Wildlife Park,National Park,Maduru Oya,Eastern,Home to nearly 200 elephants.,
Udawalawe National Park,National Park,Udawalawe,Sabaragamuwa,Known for its elephant population.,
Delft Growing Stone,Natural Wonder,Delft Island,Jaffna,Northern,Rocks that increase in size over time.
Bellanwila Temple,Buddhist Temple,Colombo,Colombo,Western,A venerated temple in Colombo District.
Owagiriya Ancient Monastery,Buddhist Monastery,-,-,-,An ancient monastery from the second century BC.
Pettah Market,Market,Colombo,Colombo,Western,The main market in Sri Lanka.
Ella,Town,Ella,Badulla,Uva,A popular tourist destination known for hiking.
Okanda Devalaya,Hindu Temple,Okanda,Eastern,A temple dedicated to Lord Skanda.,
Dambulla Cave Temple,Buddhist Temple,Dambulla,Central,A UNESCO-listed cave temple.,
Bambarakanda Falls,Waterfall,Ohiya,Badulla,Uva,The tallest waterfall in Sri Lanka.
Aukana,Buddhist Statue,Aukana,Anuradhapura,North Central,One of the tallest Buddha statues in Sri Lanka.
